cell,spec,n,estimator,target_time,truth,bias,bias_mc_se,emp_sd,mean_se,se_ratio,rmse,coverage,coverage_mc_se,ci_width,n_used
C1,Q✓ π✓ G✓,500,tmle,2.66982,-0.25736161330036356,0.0008071216803197354,0.002206850881664536,0.049346685876072466,0.045167775620754566,0.9153152804260722,0.04930392136072656,0.922,0.01199299795714149,0.17705442695693047,500.0
C1,Q✓ π✓ G✓,500,tmle (concrete),0.513946,-0.09886684941881166,-0.0031070943850434007,0.0020302404100500885,0.024865265299008024,0.03085882470998269,1.2410414423052134,0.024976260284218302,0.9866666666666667,0.009365025558091315,0.12096437102775302,150.0
C1,Q✓ π✓ G✓,500,tmle (concrete),1.149562,-0.17473091250511089,0.0006341889853451617,0.0025981312853965346,0.03182047966991443,0.03866128453366976,1.214981198734825,0.03172057433144006,0.98,0.01143095213298817,0.15154945175949905,150.0
C1,Q✓ π✓ G✓,500,tmle (concrete),2.66982,-0.25736161330036356,0.00348002783053805,0.003055259720845765,0.03741913673875148,0.04529000109993542,1.210343290817632,0.03745621144767417,0.9733333333333334,0.013154354299509981,0.17753354343166763,150.0
C2,Q✓ π✓ G✗,500,aipw,0.513946,-0.09886684941881166,0.00020050752445512754,0.001464343997597502,0.032743727210718034,0.030603546105291195,0.9346384395504526,0.03271158161223605,0.932,0.01125841907196565,0.11996369633116355,500.0
C2,Q✓ π✓ G✗,500,aipw,1.149562,-0.17473091250511089,0.00023690660125975837,0.0017747222561030334,0.03968399605828174,0.03862610038426591,0.9733420073809563,0.03964500004799008,0.936,0.01094568408095172,0.15141153123277984,500.0
C2,Q✓ π✓ G✗,500,aipw,2.66982,-0.25736161330036356,-0.0018440916018481032,0.002186519577720219,0.048892064099165446,0.04522189250546554,0.9249331837114532,0.04887794735715848,0.928,0.0115599307956406,0.1772665612469085,500.0
C2,Q✓ π✓ G✗,500,gcomp,0.513946,-0.09886684941881166,-0.0008508864033803047,0.0009935267001076244,0.02221593238901696,,,0.022210010452068756,,,,500.0
C2,Q✓ π✓ G✗,500,gcomp,1.149562,-0.17473091250511089,-0.00038725757112128406,0.0013705976355241991,0.0306474948283259,,,0.030619281013768904,,,,500.0
C2,Q✓ π✓ G✗,500,gcomp,2.66982,-0.25736161330036356,-0.0001780909138578512,0.0016445809057438964,0.03677394699741527,,,0.03673758630866716,,,,500.0
C2,Q✓ π✓ G✗,500,ipw,0.513946,-0.09886684941881166,0.0016704587294946388,0.0014815506988912612,0.03312848074833182,0.03378558666358084,1.019835075451871,0.03313746635737488,0.95,0.00974679434480897,0.13243706611435044,500.0
