cell,arm,n,n_bootstrap,type,event,time,group,cov_all,cov_convfilter,mode2_effect,cov_dropmode1,mode1_effect,cov_strict,both_effect,width_all,width_convfilter
B_OV3_n250_correct,correct,250,100,rr,2,0.477676,-1,0.9266666666666666,0.8120300751879699,-0.11463659147869676,0.7735849056603774,-0.15308176100628923,0.7735849056603774,-0.15308176100628923,3.3824468006554715,2.7375207248006865
B_OV3_n250_correct,correct,250,100,rr,2,3.11961,-1,0.9266666666666666,0.8581081081081081,-0.06855855855855852,0.7169811320754716,-0.209685534591195,0.7169811320754716,-0.209685534591195,1.62653042010282,1.6238098619427874
B_OV3_n250_correct,correct,250,100,rr,2,8.608445,-1,0.94,0.8859060402684564,-0.05409395973154352,0.660377358490566,-0.27962264150943394,0.660377358490566,-0.27962264150943394,1.203107602585875,1.1247698563302961
B_OV4_n250_correct,correct,250,100,rd,1,0.477676,-1,0.9266666666666666,0.6696428571428571,-0.25702380952380954,0.6285714285714286,-0.2980952380952381,0.6285714285714286,-0.2980952380952381,0.1301310949610759,0.07076353179123622
B_OV4_n250_correct,correct,250,100,rd,1,3.11961,-1,0.96,0.8194444444444444,-0.14055555555555554,0.5857142857142857,-0.3742857142857142,0.5857142857142857,-0.3742857142857142,0.344275512470177,0.2667024682014111
B_OV4_n250_correct,correct,250,100,rd,1,8.608445,-1,0.96,0.8843537414965986,-0.07564625850340134,0.6285714285714286,-0.3314285714285714,0.6285714285714286,-0.3314285714285714,0.42014230598775354,0.34584034097074157
B_OV4_n250_correct,correct,250,100,rd,2,0.477676,-1,0.92,0.7652173913043478,-0.1547826086956522,0.6142857142857143,-0.3057142857142857,0.6142857142857143,-0.3057142857142857,0.13013758384043594,0.07649710851211912
B_OV4_n250_correct,correct,250,100,rd,2,3.11961,-1,0.94,0.8413793103448276,-0.09862068965517234,0.5857142857142857,-0.3542857142857142,0.5857142857142857,-0.3542857142857142,0.34006083340340315,0.26299754528080904
B_OV4_n250_correct,correct,250,100,rd,2,8.608445,-1,0.9533333333333334,0.8590604026845637,-0.09427293064876963,0.5714285714285714,-0.38190476190476197,0.5714285714285714,-0.38190476190476197,0.4212426525771761,0.3486689415294026
B_OV4_n250_correct,correct,250,100,risk,1,0.477676,0,0.9266666666666666,0.8439716312056738,-0.08269503546099288,0.5142857142857142,-0.4123809523809524,0.5142857142857142,-0.4123809523809524,0.09887079064333568,0.08180626875324613
B_OV4_n250_correct,correct,250,100,risk,1,0.477676,1,0.84,0.7310344827586207,-0.10896551724137926,0.5571428571428572,-0.2828571428571428,0.5571428571428572,-0.2828571428571428,0.059539338693595546,0.04795321156787068
B_OV4_n250_correct,correct,250,100,risk,1,3.11961,0,0.9533333333333334,0.94,-0.01333333333333342,0.5285714285714286,-0.4247619047619048,0.5285714285714286,-0.4247619047619048,0.2652387808886577,0.23991338651290206
B_OV4_n250_correct,correct,250,100,risk,1,3.11961,1,0.9133333333333333,0.8333333333333334,-0.07999999999999996,0.5714285714285714,-0.34190476190476193,0.5714285714285714,-0.34190476190476193,0.1745945359279649,0.15215256662889004
B_OV4_n250_correct,correct,250,100,risk,1,8.608445,0,0.9733333333333334,0.9333333333333333,-0.040000000000000036,0.5428571428571428,-0.43047619047619057,0.5428571428571428,-0.43047619047619057,0.3106242831151902,0.28645639576575643
B_OV4_n250_correct,correct,250,100,risk,1,8.608445,1,0.9666666666666667,0.94,-0.026666666666666727,0.5571428571428572,-0.4095238095238095,0.5571428571428572,-0.4095238095238095,0.24089654357305013,0.2205862158075412
B_OV4_n250_correct,correct,250,100,risk,2,0.477676,0,0.8533333333333334,0.7943262411347518,-0.05900709219858158,0.4857142857142857,-0.3676190476190477,0.4857142857142857,-0.3676190476190477,0.08235659482730837,0.062355273276872784
