axis,arm,n,type,event,time,levels_tested,min_coverage,breakpoint_level,coverage_at_break,se_ratio_at_break,std_bias_at_break
overlap,oracle,250,risk,1,3.11961,2,0.584,OV3,0.844,0.9000217709298394,-0.06595273224856127
overlap,correct,500,risk,1,3.11961,4,0.634,OV3,0.816,0.810359036294594,-0.011166305075990977
overlap,correct,250,risk,1,8.608445,4,0.636,OV2,0.895,0.8650169679264106,0.030767259532132676
overlap,oracle,250,risk,1,8.608445,2,0.617,OV3,0.848,0.8679124106359569,-0.07777915059034919
overlap,correct,500,risk,1,8.608445,4,0.634,OV3,0.85,0.8349897927377975,-0.0744522611930035
overlap,correct,250,risk,2,0.477676,4,0.794,OV1,0.87,0.9342515217796644,0.04591684219405578
overlap,oracle,250,risk,2,0.477676,2,0.779,OV4,0.779,0.5106877360969349,0.2715358134457028
overlap,correct,500,risk,2,0.477676,4,0.73,OV3,0.848,0.7415470858062465,0.11262906984919993
overlap,correct,250,risk,2,3.11961,4,0.712,OV2,0.886,0.8822533893335555,0.0775166392971794
overlap,oracle,250,risk,2,3.11961,2,0.674,OV3,0.872,0.8622692869960631,0.15706608834763158
overlap,correct,500,risk,2,3.11961,4,0.654,OV3,0.836,0.7622694501831585,0.15980084314175902
overlap,correct,250,risk,2,8.608445,4,0.645,OV2,0.882,0.8438126372250178,0.07732346557360961
overlap,oracle,250,risk,2,8.608445,2,0.623,OV3,0.838,0.8285146119768177,0.1335974414863567
overlap,correct,500,risk,2,8.608445,4,0.644,OV3,0.84,0.7920696121449881,0.12511943995439395
overlap,correct,250,rr,1,0.477676,4,0.856,OV1,0.88,0.8179572678883688,0.2354896751040482
overlap,oracle,250,rr,1,0.477676,2,0.831,OV4,0.831,0.7495830143111784,0.4087371110082205
overlap,correct,500,rr,1,0.477676,4,0.796,OV2,0.892,0.86921929311716,0.279443739169742
overlap,correct,250,rr,1,3.11961,4,0.808,OV4,0.808,0.6251381936102726,0.35046148011204403
overlap,oracle,250,rr,1,3.11961,2,0.781,OV4,0.781,0.6442730341440474,0.3915838891915639
overlap,correct,500,rr,1,3.11961,4,0.776,OV3,0.888,0.8297989279363569,0.17205439103404357
overlap,correct,250,rr,1,8.608445,4,0.754,OV4,0.754,0.6025599149956692,0.2513726338044172
overlap,oracle,250,rr,1,8.608445,2,0.759,OV4,0.759,0.6355845956350544,0.2913178122945781
overlap,correct,500,rr,1,8.608445,4,0.762,OV4,0.762,0.6371200175653222,0.2795710901274257
overlap,correct,250,rr,2,0.477676,4,0.849,OV1,0.879,0.5472311043022856,0.21866569077265383
overlap,oracle,250,rr,2,0.477676,2,0.814,OV4,0.814,0.7762296908046694,0.307356678733889
overlap,correct,500,rr,2,0.477676,4,0.806,OV3,0.872,0.8991376536547132,0.2756451989461619
overlap,correct,250,rr,2,3.11961,4,0.767,OV3,0.879,0.8374494722389987,0.11505381298151125
overlap,oracle,250,rr,2,3.11961,2,0.754,OV3,0.884,0.899528738109094,0.09809445433169049
overlap,correct,500,rr,2,3.11961,4,0.772,OV3,0.874,0.8468704820776133,0.08646783892637644
overlap,correct,250,rr,2,8.608445,4,0.745,OV2,0.899,0.8384260122227615,0.11702393965432872
overlap,oracle,250,rr,2,8.608445,2,0.738,OV3,0.884,0.9067692534504298,0.07279831295859712
overlap,correct,500,rr,2,8.608445,4,0.752,OV3,0.878,0.8419996230350567,0.08205596519282554
rare,correct,250,rd,1,0.477676,3,0.47047047047047047,RA1,0.89,0.9665642840845923,0.047005967852294474
rare,oracle,250,rd,1,0.477676,1,0.47,RA3,0.47,0.7064734164729716,0.08467869989525677
rare,correct,500,rd,1,0.477676,3,0.726,RA3,0.726,0.8926918851685622,-0.023092008974832483
rare,correct,250,rd,1,3.11961,3,0.9029029029029029,,,,
rare,oracle,250,rd,1,3.11961,1,0.904,,,,
rare,correct,500,rd,1,3.11961,3,0.952,,,,
rare,correct,250,rd,1,8.608445,3,0.928928928928929,,,,
rare,oracle,250,rd,1,8.608445,1,0.936,,,,
rare,correct,500,rd,1,8.608445,3,0.946,,,,
rare,correct,250,rd,2,0.477676,3,0.94994994994995,,,,
rare,oracle,250,rd,2,0.477676,1,0.948,,,,
rare,correct,500,rd,2,0.477676,3,0.946,,,,
rare,correct,250,rd,2,3.11961,3,0.9369369369369369,,,,
rare,oracle,250,rd,2,3.11961,1,0.933,,,,
rare,correct,500,rd,2,3.11961,3,0.928,,,,
rare,correct,250,rd,2,8.608445,3,0.933,,,,
rare,oracle,250,rd,2,8.608445,1,0.942,,,,
rare,correct,500,rd,2,8.608445,3,0.934,,,,
rare,correct,250,risk,1,0.477676,3,0.2502502502502503,RA1,0.834,0.8943938771364565,0.016536792429716732
rare,oracle,250,risk,1,0.477676,1,0.248,RA3,0.298,0.5532019218852751,-0.013510480370427057
rare,correct,500,risk,1,0.477676,3,0.388,RA1,0.898,1.0086600102894505,-0.004703413032002324
rare,correct,250,risk,1,3.11961,3,0.7417417417417418,RA2,0.858,0.9135411174486734,0.028545989968638448
rare,oracle,250,risk,1,3.11961,1,0.742,RA3,0.861,0.8946086518364722,0.03129990104013454
rare,correct,500,risk,1,3.11961,3,0.86,RA3,0.86,0.9823670121747615,-0.011164886339334186
rare,correct,250,risk,1,8.608445,3,0.8578578578578578,RA2,0.891,0.9547749463772127,-0.008637107085186358
rare,oracle,250,risk,1,8.608445,1,0.853,RA3,0.89,0.9476530785370156,0.07959984442171862
rare,correct,500,risk,1,8.608445,3,0.9,,,,
rare,correct,250,risk,2,0.477676,3,0.891,RA1,0.891,0.9848590144251088,0.009532383909383185
rare,oracle,250,risk,2,0.477676,1,0.89,RA3,0.89,0.9436193436037511,0.04536461306625472
rare,correct,500,risk,2,0.477676,3,0.9,,,,
rare,correct,250,risk,2,3.11961,3,0.923923923923924,,,,
rare,oracle,250,risk,2,3.11961,1,0.929,,,,
rare,correct,500,risk,2,3.11961,3,0.934,,,,
rare,correct,250,risk,2,8.608445,3,0.935,,,,
rare,oracle,250,risk,2,8.608445,1,0.948,,,,
rare,correct,500,risk,2,8.608445,3,0.936,,,,
rare,correct,250,rr,1,0.477676,3,0.5446808510638298,RA1,0.7243186582809225,0.3884589882255218,0.3405859034167967
rare,oracle,250,rr,1,0.477676,1,0.286,RA3,0.286,0.2749716782830355,0.2673525014747979
rare,correct,500,rr,1,0.477676,3,0.6236263736263736,RA1,0.8537074148296593,0.3811166236944322,0.19115904096917974
rare,correct,250,rr,1,3.11961,3,0.7351129363449692,RA1,0.891,0.8846397939402006,0.18690775330973966
rare,oracle,250,rr,1,3.11961,1,0.718,RA3,0.718,0.23897750363820436,0.22168520994225682
rare,correct,500,rr,1,3.11961,3,0.8476953907815631,RA3,0.8476953907815631,0.28134815397531165,0.15744400963504623
rare,correct,250,rr,1,8.608445,3,0.8363453815261044,RA2,0.896,0.8395396878056496,0.18898438744737
