cell,estimator,estimand,event,time,group,n_rep,n_used,truth,bias,bias_mc_se,rel_bias,emp_sd,mean_se,se_ratio,rmse,coverage,coverage_mc_se,miss_low,miss_high,ci_width,ci_width_mc_se,n_ci,n_error,frac_nonconverged,n_converged_known,n
n500,tmle,rd,2.0,1.605387,,500.0,500.0,0.02683608304896079,0.0006601279654492178,0.0013410828881188078,0.024598521484855102,0.029987525012953997,0.03036675845904537,1.0126463736479603,0.029964794710134503,0.942,0.010453324829928518,0.036,0.022,0.1190355058139119,0.00035468707542227976,500.0,0.0,0.0,500.0,500
n500,tmle,rd,2.0,3.11961,,500.0,500.0,0.049985468677064826,0.0015648359181404036,0.0017311708545017443,0.03130581666144121,0.038710157113322985,0.038335861492422504,0.9903308162815062,0.03870307510600903,0.944,0.010282412168358165,0.03,0.026,0.15027381568292808,0.0002929320827976335,500.0,0.0,0.0,500.0,500
n500,tmle,rd,2.0,5.420902,,500.0,500.0,0.08039718781145194,0.0014717011589107476,0.0020896994187435684,0.0183053810583797,0.04672709952852417,0.04427912847609876,0.9476113202590059,0.04670354259570729,0.926,0.011706750189527404,0.036,0.038,0.173570994159951,0.0002592799559800821,500.0,0.0,0.0,500.0,500
n500,tmle (concrete),rd,1.0,1.605387,,500.0,500.0,-0.06676032309484575,-0.0009880599538665182,0.0009716669409266178,0.014800107430019338,0.021727133314011902,0.030482214809397005,1.4029561272005875,0.02172787260348308,0.988,0.004869496893930627,0.008,0.004,0.11948808639086315,0.0003302208986624124,500.0,0.0,0.0,500.0,500
n500,tmle (concrete),rd,1.0,3.11961,,500.0,500.0,-0.10970149312307753,-0.0006482422780488948,0.0013468583186333838,0.005909147264947539,0.03011666756525318,0.03825939439430975,1.2703727698761453,0.030093518504099036,0.984,0.00561141693336006,0.008,0.008,0.14997407016632144,0.0002853805710013643,500.0,0.0,0.0,500.0,500
n500,tmle (concrete),rd,1.0,5.420902,,500.0,500.0,-0.15036384983382675,-0.0011734372707825744,0.0017242745509671057,0.007803985280234497,0.038555951078353745,0.04394810598684653,1.1398527272102508,0.03853524615021625,0.972,0.0073778045514909145,0.014,0.014,0.17227340984593661,0.0002539882398384373,500.0,0.0,0.0,500.0,500
n500,tmle (concrete),rd,2.0,1.605387,,500.0,500.0,0.02683608304896079,0.00043432994527952394,0.0009225521375109748,0.01618455064724295,0.020628892922622735,0.030371612476707315,1.4722851386464952,0.02061283006450048,0.996,0.002822764602300377,0.002,0.002,0.11905453321350735,0.0003549391990745514,500.0,0.0,0.0,500.0,500
n500,tmle (concrete),rd,2.0,3.11961,,500.0,500.0,0.049985468677064826,0.000802060295903561,0.0013466897077628731,0.016045869272234628,0.030112897311571105,0.03835256813044656,1.273625972739239,0.030093459622424552,0.994,0.0034536936748935927,0.002,0.004,0.1503393045005878,0.00029340854641146647,500.0,0.0,0.0,500.0,500
n500,tmle (concrete),rd,2.0,5.420902,,500.0,500.0,0.08039718781145194,0.0006599459947335502,0.0017574005593841485,0.008208570631615378,0.03929667114479112,0.044319133980950894,1.1278088624263918,0.03926290151086265,0.982,0.005945754788082,0.012,0.006,0.173727812857338,0.0002599272595362381,500.0,0.0,0.0,500.0,500
n1000,aipw,rd,1.0,1.605387,,500.0,500.0,-0.06676032309484575,0.000856822289798443,0.0009596426867239127,-0.012834304120744948,0.021458262816252037,0.02159623321074516,1.0064297094165808,0.021453910446383843,0.956,0.009172131704244116,0.028,0.016,0.08465567858957666,0.00015818294374417448,500.0,0.0,0.0,500.0,1000
n1000,aipw,rd,1.0,3.11961,,500.0,500.0,-0.10970149312307753,-0.00025854233039137296,0.00127990328031194,0.0023567804141125612,0.02861950739402466,0.02707501263370142,0.9460334959977087,0.028592042515467188,0.938,0.010784804124322337,0.034,0.028,0.10613209928604349,0.00013601250701470233,500.0,0.0,0.0,500.0,1000
n1000,aipw,rd,1.0,5.420902,,500.0,500.0,-0.15036384983382675,-0.0001365051878008764,0.0013963297902641499,0.0009078324873414312,0.03122288330038663,0.031086236927497596,0.995623518444008,0.031191943485019972,0.952,0.009559916317625384,0.018,0.03,0.1218558095855487,0.00013005321620562346,500.0,0.0,0.0,500.0,1000
n1000,aipw,rd,2.0,1.605387,,500.0,500.0,0.02683608304896079,-0.0011758320714389074,0.0009737354698860083,-0.04381533882175256,0.021773387027678143,0.02153841684474317,0.9892083770597435,0.021783360690030663,0.948,0.009929350431926557,0.022,0.03,0.08442904259941489,0.00016649744183904502,500.0,0.0,0.0,500.0,1000
n1000,aipw,rd,2.0,3.11961,,500.0,500.0,0.049985468677064826,-0.0008768761371658806,0.0012242505372283595,-0.017542621093162295,0.02737507422733249,0.027158239179682957,0.9920791064948772,0.027361739917885163,0.952,0.009559916317625384,0.022,0.026,0.10645834135140643,0.00014892347069677718,500.0,0.0,0.0,500.0,1000
n1000,aipw,rd,2.0,5.420902,,500.0,500.0,0.08039718781145194,-0.000539144928704618,0.001398975425558619,-0.0067060172548450885,0.031282041504007686,0.031377022769824015,1.0030362873153327,0.0312553941851849,0.952,0.009559916317625384,0.014,0.034,0.12299566914189657,0.00012583769310664056,500.0,0.0,0.0,500.0,1000
n1000,ate:AIPTW,rd,1.0,1.605387,,500.0,500.0,-0.06676032309484575,0.0008677806667162783,0.0009595698167233698,-0.012998449175918915,0.021456633393504693,0.021551884584583757,1.0044392421370212,0.021452724433871348,0.956,0.009172131704244116,0.028,0.016,0.0844818351694963,0.00015692368534513443,500.0,0.0,,0.0,1000
